iter	Passed	Remaining
523	774	703
524	775	701
525	776	699
526	777	697
527	778	695
528	779	694
529	780	692
530	781	690
531	782	688
532	783	686
533	784	684
534	785	682
535	786	680
536	787	678
537	788	676
538	789	674
539	790	673
540	791	671
541	792	669
542	793	667
543	793	665
544	794	663
545	795	661
546	796	659
547	798	658
548	799	656
549	800	654
550	800	652
551	801	650
552	802	649
553	804	647
554	805	645
555	806	643
556	807	641
557	807	639
558	808	638
559	809	636
560	810	634
561	811	632
562	812	630
563	813	629
564	814	627
565	815	625
566	816	623
567	817	621
568	818	620
569	819	618
570	820	616
571	821	614
572	822	612
573	823	611
574	824	609
575	825	607
576	826	605
577	827	603
578	828	602
579	829	600
580	830	598
581	831	597
582	832	595
583	833	593
584	834	591
585	835	590
586	836	588
587	837	586
588	837	584
589	838	582
590	839	581
591	840	579
592	841	577
593	843	576
594	843	574
595	844	572
596	845	570
597	846	569
598	848	567
599	849	566
600	850	564
601	851	562
602	851	560
603	853	559
604	854	557
605	855	556
606	856	554
607	856	552
608	857	550
609	858	549
610	859	547
611	861	545
612	862	544
613	863	542
614	863	540
615	864	539
616	865	537
617	866	535
618	867	534
619	868	532
620	869	530
621	870	529
622	871	527
623	872	525
624	873	524
625	874	522
626	875	520
627	876	519
628	877	517
629	878	515
630	879	514
631	880	512
632	881	511
633	882	509
634	883	507
635	884	506
636	885	504
637	886	503
638	887	501
639	888	499
640	889	498
641	890	496
642	891	494
643	892	493
644	893	491
645	894	490
646	895	488
647	896	486
648	897	485
649	898	483
650	899	482
651	900	480
652	901	478
653	902	477
654	903	475
655	904	474
656	905	472
657	906	470
658	907	469
659	907	467
660	908	466
661	909	464
662	910	463
663	911	461
664	912	459
665	913	458
666	914	456
667	915	455
668	916	453
669	917	451
670	918	450
671	919	448
672	920	447
673	921	445
674	922	444
675	923	442
676	924	440
677	925	439
678	926	437
679	927	436
680	927	434
681	928	433
682	929	431
683	930	430
684	931	428
685	932	426
686	933	425
687	934	423
688	935	422
689	936	420
690	937	419
691	938	417
692	939	416
693	940	414
694	941	413
695	942	411
696	943	410
697	944	408
698	945	407
699	946	405
700	947	404
701	948	402
702	949	401
703	950	399
704	951	398
705	952	396
706	953	395
707	954	393
708	955	392
709	956	390
710	957	389
711	958	387
712	959	386
713	960	384
714	961	383
715	962	381
716	963	380
717	964	378
718	965	377
719	966	375
720	967	374
721	968	372
722	969	371
723	970	370
724	971	368
725	972	367
726	973	365
727	974	364
728	975	362
729	976	361
730	977	359
731	978	358
732	979	356
733	980	355
734	981	353
735	982	352
736	982	350
737	984	349
738	984	347
739	985	346
740	986	344
741	987	343
742	988	342
743	989	340
744	990	339
745	991	337
746	992	336
747	993	334
748	994	333
749	995	331
750	996	330
751	997	329
752	999	327
753	1000	326
754	1001	324
755	1002	323
756	1003	321
757	1004	320
758	1005	319
759	1006	317
760	1007	316
761	1008	315
762	1009	313
763	1011	312
764	1012	310
765	1013	309
766	1014	308
767	1015	306
768	1016	305
769	1017	303
770	1018	302
771	1019	301
772	1020	299
773	1021	298
774	1023	297
775	1024	295
776	1025	294
777	1026	292
778	1027	291
779	1028	289
780	1029	288
781	1030	287
782	1031	285
783	1032	284
784	1033	283
785	1034	281
786	1036	280
787	1037	279
788	1038	277
789	1039	276
790	1040	274
791	1042	273
792	1043	272
793	1044	270
794	1045	269
795	1046	268
796	1047	266
797	1049	265
798	1050	264
799	1051	262
800	1052	261
801	1054	260
802	1055	258
803	1056	257
804	1057	256
805	1058	254
806	1060	253
807	1061	252
808	1062	250
809	1063	249
810	1064	247
811	1065	246
812	1066	245
813	1067	243
814	1068	242
815	1069	241
816	1070	239
817	1071	238
818	1073	237
819	1074	235
820	1075	234
821	1076	233
822	1077	231
823	1079	230
824	1080	229
825	1081	227
826	1082	226
827	1083	225
828	1084	223
829	1085	222
830	1086	220
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1092	212
837	1093	211
838	1094	210
839	1095	208
840	1096	207
841	1097	205
842	1098	204
843	1099	203
844	1100	201
845	1101	200
846	1102	199
847	1103	197
848	1104	196
849	1105	195
850	1106	193
851	1107	192
852	1108	190
853	1109	189
854	1110	188
855	1111	186
856	1112	185
857	1113	184
858	1114	182
859	1115	181
860	1116	180
861	1117	178
862	1118	177
863	1119	176
864	1120	174
865	1121	173
866	1122	172
867	1123	170
868	1124	169
869	1125	168
870	1126	166
871	1127	165
872	1128	164
873	1129	162
874	1130	161
875	1131	160
876	1132	158
877	1133	157
878	1134	156
879	1135	154
880	1136	153
881	1137	152
882	1138	150
883	1139	149
884	1140	148
885	1141	146
886	1142	145
887	1143	144
888	1144	142
889	1145	141
890	1146	140
891	1147	138
892	1148	137
893	1149	136
894	1150	134
895	1151	133
896	1152	132
897	1153	131
898	1154	129
899	1155	128
900	1156	127
901	1157	125
902	1158	124
903	1159	123
904	1160	121
905	1161	120
906	1162	119
907	1163	117
908	1164	116
909	1165	115
910	1167	114
911	1168	112
912	1169	111
913	1170	110
914	1171	108
915	1172	107
916	1173	106
917	1174	104
918	1175	103
919	1176	102
920	1177	101
921	1178	99
922	1180	98
923	1181	97
924	1182	95
925	1183	94
926	1184	93
927	1185	91
928	1186	90
929	1187	89
930	1188	88
931	1189	86
932	1190	85
933	1191	84
934	1192	82
935	1193	81
936	1194	80
937	1195	79
938	1197	77
939	1198	76
940	1199	75
941	1200	73
942	1201	72
943	1202	71
944	1203	70
945	1204	68
946	1205	67
947	1206	66
948	1207	64
949	1208	63
950	1210	62
951	1211	61
952	1212	59
953	1213	58
954	1214	57
955	1215	55
956	1216	54
957	1217	53
958	1218	52
959	1220	50
960	1221	49
961	1222	48
962	1223	47
963	1224	45
964	1225	44
965	1226	43
966	1227	41
967	1228	40
968	1229	39
969	1230	38
970	1231	36
971	1232	35
972	1233	34
973	1234	32
974	1235	31
975	1236	30
976	1236	29
977	1237	27
978	1238	26
979	1239	25
980	1240	24
981	1241	22
982	1242	21
983	1243	20
984	1244	18
985	1245	17
986	1246	16
987	1247	15
988	1248	13
989	1249	12
990	1250	11
991	1251	10
992	1252	8
993	1253	7
994	1254	6
995	1255	5
996	1256	3
997	1257	2
998	1258	1
999	1259	0
